"alta_exposicion","n_municipios","pct_cepeda_media","pct_espriella_media","n_gana_cepeda","n_gana_espriella"
FALSE,937,40.4385881623394,58.2635693088026,283,654
TRUE,185,56.4435691092669,42.0844255924476,116,69
