"termino","estimacion","error_estandar_hc1","estadistico_t","p_valor","n_observaciones","sig"
"(Intercept)",2.2901861176596,0.265023994002384,8.64142934031476,0.00000000000000000555140779518221,1102,"***"
"tratado",1.74603466578309,0.579595642200453,3.01250482000557,0.00259101321387761,1102,"**"
"ipm_dnp",0.155991378980607,0.00755947341589773,20.6352176135118,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132547432851142,1102,"***"
"cat_ruralidadIntermedio",-0.455108995966712,0.306046009961395,-1.48706070706205,0.136998778108099,1102,""
"cat_ruralidadRural",-0.848416134676349,0.345875851083254,-2.4529499010098,0.0141690070851615,1102,"*"
"cat_ruralidadRural disperso",-1.11790469471798,0.402244871443533,-2.77916456885121,0.00544989069400796,1102,"**"
