"comparacion","diferencia_medias","ic95_inferior","ic95_superior","p_valor","sig","n1","n2"
"control_armado vs. conflicto_activo",2.45696932928002,1.17141368707066,3.74252497148938,0.000246932909102636,"***",85,223
"control_armado vs. resto_colombia",3.66894464118951,2.44524204814057,4.89264723423845,0.0000000468828696938223,"***",85,814
"control_armado vs. exterior",9.80600813030969,8.39422019473327,11.2177960658861,0.00000000000000000000000000148789879693682,"***",85,67
"conflicto_activo vs. resto_colombia",1.21197531190949,0.670326563708459,1.75362406011053,0.0000142317075168692,"***",223,814
"conflicto_activo vs. exterior",7.34903880102967,6.45071030000098,8.24736730205837,0.0000000000000000000000000000000270095109548842,"***",223,67
"resto_colombia vs. exterior",6.13706348912018,5.32996699142913,6.94415998681123,0.000000000000000000000000176863333012968,"***",814,67
