"termino","estimacion","error_estandar_hc1","estadistico_t","p_valor","n_observaciones"
"(Intercept)",-1.06620703369238,0.531377884043552,-2.00649493648289,0.044803468454923,1102
"alta_exposicionTRUE",-0.515691571360555,0.492290549986038,-1.04753497985119,0.29485290776567,1102
"ipm_dnp",-0.0354175439597672,0.0124689860006321,-2.84045101646371,0.00450497909710115,1102
"ha_coca",0.000156760863278117,0.000195743320181704,0.800849107558817,0.423219005703999,1102
"pdet",1.03260812269877,0.578077437459712,1.78627992684931,0.0740539453620588,1102
"cat_ruralidadIntermedio",1.10272959726609,0.565072146427528,1.9514846099524,0.0509994252075479,1102
"cat_ruralidadRural",2.52493989279864,0.627691896035416,4.02257844771692,5.75644719685229e-05,1102
"cat_ruralidadRural disperso",3.62895814723134,0.67530848961107,5.37377835916348,7.71036256245399e-08,1102
