"cod_dane","municipio","departamento","municipio_std","departamento_std","nombre_municipio","cn_censo_electoral","se_censo_electoral","cn_votantes","se_votantes","cn_votos_validos","se_votos_validos","cn_votos_blancos","se_votos_blancos","cn_votos_nulos","se_votos_nulos","cn_abstencion","se_abstencion","cn_participacion","se_participacion","se_cn_ratio","se_cn_brecha","se_partido_ganador","se_votos_ganador","se_votos_segundo","se_margen","se_HHI","se_ENP","se_total_votos","se_indice_autonomia","se_indice_competencia","se_indice_periferia","se_indice_captura","se_lisa_captura","se_lisa_periferia","se_cluster_tipo","ca_votos_totales","ca_partido_ganador","ca_votos_ganador","ca_votos_segundo","ca_n_partidos","ca_HHI","ca_margen","cn_coalicion","cn_fvida","cn_gran","p22_votos_totales","p22_ganador","p22_votos_ganador","p22_votos_segundo","p22_HHI","p22_margen","p22_petro","p22_fico","p22_rodolfo","p22_fajardo","p22_betancourt","p22_gomez","p22_perez","p22_milton","fiscal_multas","fiscal_responsabilidades","fiscal_disciplinares","fiscal_penales","p18_mesas","p18_total_mesas","p18_votantes","p18_votos_validos","p18_votos_blancos","p18_votos_nulos","p18_votos_no_marcados","p18_duque","p18_petro","p18_fajardo","p18_vargas","p18_delacalle","p18_blanco","p18_morales","p18_trujillo","p18_votos_totales","p18_ganador","p18_HHI","s18_mesas","s18_total_mesas","s18_votantes","s18_votos_validos","s18_votos_blancos","s18_votos_nulos","s18_votos_no_marcados","s18_duque","s18_petro","s18_votos_totales","s18_ganador","s18_margen","pv_subperiodo_1","pv_subperiodo_2","pv_subperiodo_3","pv_total","ct_subperiodo_1","ct_subperiodo_2","ct_subperiodo_3","ct_total","dm_subperiodo_1","dm_subperiodo_2","dm_subperiodo_3","dm_total","idx_exposicion","alta_exposicion","anio","mesas_total_2v2026","mesas_escrutadas_2v2026","censo_2v2026","votantes_2v2026","votos_validos_2v2026","votos_nulos_2v2026","votos_no_marcados_2v2026","votos_blanco_2v2026","votos_2v2026_abelardo_de_la_espriella","votos_2v2026_ivan_cepeda_castro","tipologia_d2"
"66440","Marsella","Risaralda","MARSELLA","RISARALDA","MARSELLA",15820,15820,2045,6692,1712,6033,0,228,135,304,0.870733249051833,0.576991150442478,0.129266750948167,0.423008849557522,3.27237163814181,0.293742098609355,"Partido Liberal Colombiano",1406,1168,0.0415502793296089,0.160932538095721,6.21378381173116,5728,0.85492547044785,0.723807240789129,0.639583732519489,0.145633751748851,"No significativo","No significativo","Periferia democrática",5834,"Partido_70",1283,1263,66,0.172737592416589,0.00342817963661296,470,480,12429,7539,"Federico Gutiérrez",2527,2356,0.30831132327751,0.0226820533227218,2356,2527,2353,212,5,10,4,72,0,0,4,0,44,44,7924,7570,132,144,78,4438,1053,1489,411,113,18,32,16,7924,"Iván Duque",0.404934726349754,44,44,8226,7673,350,158,45,5757,1916,7673,"Iván Duque",0.500586472044833,0,0,0,0,0,0,0,0,0,0,3,3,0,FALSE,2026,48,48,15672,8958,8803,122,33,153,5039,3611,"periferico"
"66383","La Celia","Risaralda","LA CELIA","RISARALDA","LA CELIA",6903,6903,514,3133,477,2850,0,52,19,113,0.925539620454875,0.546139359698682,0.0744603795451253,0.453860640301318,6.09533073929961,0.379400260756193,"Partido Liberal Colombiano",1126,361,0.273507329281373,0.217481215189317,4.59809827312903,2797,0.630746342639917,0.566811697918819,0.638891215628798,0.361182591688859,"No significativo","High-High","Periferia democrática",2759,"Partido Liberal Colombiano",1205,439,66,0.258920392465608,0.277636824936571,54,115,3843,3437,"Rodolfo Hernández",1824,802,0.378971535437027,0.297352342158859,708,802,1824,70,4,7,3,19,0,0,8,0,17,17,3467,3235,66,79,87,2093,336,567,179,35,6,13,6,3467,"Iván Duque",0.463296775750163,17,17,3550,3335,118,83,14,2693,642,3335,"Iván Duque",0.614992503748126,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,20,20,6754,3886,3826,49,11,67,2608,1151,"periferico"
"76243","El Águila","Valle del Cauca","EL AGUILA","VALLE DEL CAUCA","EL AGUILA",7842,7842,1230,3801,1035,3571,0,51,57,110,0.843152257077276,0.515302218821729,0.156847742922724,0.484697781178271,3.09024390243902,0.327850038255547,"Partido de la U",1091,606,0.138571428571429,0.178444244897959,5.60399132273409,3500,0.834164867145867,0.681864145826218,0.565400522166244,0.162419823078707,"No significativo","High-High","Democracia competitiva",3105,"Partido de la U",1019,558,70,0.191057174937312,0.148470209339775,136,495,7812,3428,"Rodolfo Hernández",1577,1119,0.351099599836068,0.133605600933489,614,1119,1577,98,4,9,0,7,0,0,2,0,32,32,3960,3838,42,57,23,2700,216,559,324,16,8,9,6,3960,"Iván Duque",0.526432963364355,32,32,4039,3824,118,82,15,3278,546,3824,"Iván Duque",0.714435146443515,0,0,1,1,0,0,1,1,0,0,0,0,2,FALSE,2026,31,31,7643,4161,4091,61,9,78,3096,917,"periferico"
"15778","Sutatenza","Boyacá","SUTATENZA","BOYACA","SUTATENZA",3946,3946,1027,2196,877,2043,0,48,64,63,0.739736441966548,0.443487075519513,0.260263558033452,0.556512924480487,2.13826679649464,0.296249366447035,"Partido Conservador Colombiano",1148,224,0.463157894736842,0.364957757803029,2.74004313819713,1995,0.744618100481217,0.446639341120837,0.441195452099284,0.246267503891001,"No significativo","No significativo","Periferia democrática",1996,"Partido_121",701,531,65,0.23192728141654,0.0851703406813627,194,295,6489,2083,"Rodolfo Hernández",1217,472,0.417471615429664,0.357657225156025,472,323,1217,55,0,6,0,10,0,0,0,0,10,10,1952,1888,27,29,8,1075,291,308,174,21,8,8,3,1952,"Iván Duque",0.383207501436369,10,10,2098,2016,51,28,3,1471,545,2016,"Iván Duque",0.459325396825397,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,12,12,3938,2811,2771,33,7,40,1895,836,"periferico"
"17873","Villamaria","Caldas","VILLAMARIA","CALDAS","VILLAMARIA",48037,48037,10286,28340,8842,26162,0,1460,845,1246,0.785873389262444,0.410038095634615,0.214126610737556,0.589961904365385,2.75520124440988,0.375835293627829,"Alianza por Colombia",4849,4445,0.0163668773294442,0.142395228138705,7.02270724287135,24684,0.893950039954436,0.842174939270211,0.433394906857543,0.106809840019633,"No significativo","No significativo","Democracia competitiva",24637,"Partido Liberal Colombiano",7113,5018,67,0.17457239477649,0.0850347039006372,2124,2845,64899,27071,"Gustavo Petro",9042,8721,0.288523963886362,0.0118577075098814,9042,7081,8721,1851,28,89,32,227,0,0,16,0,105,105,26350,25368,460,445,77,8394,1866,12167,1974,807,32,64,64,26350,"Sergio Fajardo",0.352013563747502,105,105,24438,21866,1783,747,42,13878,7988,21866,"Iván Duque",0.269367968535626,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,147,147,48521,34113,33468,596,49,747,17700,15021,"corredor"
"15322","Guateque","Boyacá","GUATEQUE","BOYACA","GUATEQUE",9329,9329,2279,4615,1966,4370,0,165,170,122,0.755708007289098,0.505306034944796,0.244291992710901,0.494693965055204,2.02501096972356,0.250401972344303,"Alianza por Colombia",864,778,0.0204664445502142,0.147966415666165,6.75829035594236,4202,0.929373907573044,0.787929803976333,0.509342744262947,0.071504965124066,"No significativo","No significativo","Democracia competitiva",4150,"Partido_122",853,776,65,0.154098069385978,0.0185542168674699,432,600,14670,5231,"Rodolfo Hernández",2920,1419,0.401880346496909,0.286943223093099,1419,646,2920,195,2,11,1,37,0,0,14,0,24,24,5082,4886,96,87,13,1857,830,1303,736,114,5,8,33,5082,"Iván Duque",0.267708460220075,24,24,4928,4653,177,89,9,2835,1818,4653,"Iván Duque",0.218568665377176,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,27,27,9177,6339,6270,62,7,112,3778,2380,"periferico"
"85162","Monterrey","Casanare","MONTERREY","CASANARE","MONTERREY",12638,12638,3558,7032,3004,6595,0,280,285,216,0.718468112043045,0.443582845386928,0.281531887956955,0.556417154613072,1.97639123102867,0.274885266656117,"Centro Democrático",2125,1276,0.13452701632071,0.192517580466619,5.19433081163927,6311,0.889207206521593,0.695152290064268,0.430000232847924,0.108422355438873,"No significativo","No significativo","Democracia competitiva",6211,"Partido_147",2010,1877,64,0.246829956490892,0.0214136209950089,434,725,23778,8246,"Rodolfo Hernández",5481,1744,0.494558897694111,0.453189425175843,1744,708,5481,112,6,14,4,177,0,0,2,0,33,33,7535,7221,159,133,22,4394,958,1675,103,37,11,15,28,7535,"Iván Duque",0.441932421748941,33,33,7151,6727,286,132,6,4943,1784,6727,"Iván Duque",0.46960011892374,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,39,39,12634,9152,9007,129,16,162,6344,2501,"corredor"
"15425","Macanal","Boyacá","MACANAL","BOYACA","MACANAL",3677,3677,826,1718,687,1569,0,33,56,73,0.775360348109872,0.532771280935545,0.224639651890128,0.467228719064455,2.07990314769976,0.242589067174327,"Alianza por Colombia",328,287,0.0267100977198697,0.1422576366858,7.02949959873624,1535,0.926588631556295,0.786148331841275,0.546283591793911,0.0736284832592695,"No significativo","No significativo","Democracia competitiva",1558,"Partido_121",548,265,65,0.20666286556116,0.181643132220796,170,230,5004,1982,"Rodolfo Hernández",1377,350,0.524060642655748,0.518163471241171,350,195,1377,44,4,7,0,5,0,0,0,0,11,11,1967,1901,23,28,15,1291,198,290,91,14,3,10,4,1967,"Iván Duque",0.497697023162039,11,11,1957,1894,36,23,4,1501,393,1894,"Iván Duque",0.585005279831045,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,13,13,3654,2480,2452,19,9,37,1901,514,"periferico"
"73870","Villahermosa","Tolima","VILLAHERMOSA","TOLIMA","VILLAHERMOSA",7191,7191,1127,2613,975,2338,0,88,46,93,0.843276317619246,0.636629119733,0.156723682380754,0.363370880267,2.31854480922804,0.206647197886247,"Partido Conservador Colombiano",1161,428,0.325777777777778,0.320920098765432,3.11604042204575,2250,0.783782223467744,0.438776682530074,0.68257717998008,0.211588469316224,"No significativo","No significativo","Periferia democrática",2153,"Partido Conservador Colombiano",1013,409,65,0.296144957219525,0.280538783093358,126,185,7875,2871,"Rodolfo Hernández",1196,959,0.328214828232844,0.0825496342737722,589,959,1196,88,5,20,1,13,0,0,8,0,24,24,3334,3235,40,36,23,2324,386,216,251,33,6,8,11,3334,"Iván Duque",0.540925111500231,24,24,3628,3520,67,33,8,2989,531,3520,"Iván Duque",0.698295454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,25,25,7010,3749,3677,60,12,65,2539,1073,"conflicto_activo"
"25436","Manta","Cundinamarca","MANTA","CUNDINAMARCA","MANTA",4101,4101,1195,2332,1058,2239,0,59,48,32,0.708607656669105,0.431358205315777,0.291392343330895,0.568641794684223,1.95146443514644,0.277249451353328,"Cambio Radical",751,564,0.0858585858585859,0.21009957661598,4.75964785891881,2178,0.897865269184911,0.700506171749472,0.412967193974456,0.103323958604796,"Low-Low","No significativo","Democracia competitiva",2118,"Partido_20",1033,394,68,0.289362459105415,0.301699716713881,112,335,8415,2601,"Rodolfo Hernández",1482,609,0.403549724538857,0.335640138408304,394,609,1482,86,3,7,10,10,0,0,0,0,11,11,2532,2491,21,14,6,1584,201,364,305,29,1,3,4,2532,"Iván Duque",0.447350163519219,11,11,2511,2423,71,14,3,2001,422,2423,"Iván Duque",0.651671481634338,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,12,12,4024,2960,2944,11,5,38,2341,565,"periferico"
