"termino","estimacion","error_estandar_hc1","estadistico_t","p_valor","n_observaciones"
"(Intercept)",-1.50388036074854,0.562618279472142,-2.67300302108831,0.00751755734502755,1102
"alta_exposicionTRUE",-0.964185666647584,0.48745604022678,-1.97799511561907,0.0479292576778,1102
"ipm_dnp",-0.0442176521104392,0.0129392669408313,-3.41732281377591,0.000632402443295529,1102
"ha_coca",0.000104197003777964,0.000215169130148987,0.484256285768392,0.628203995561266,1102
"pdet",0.289023893554444,0.587091542003404,0.49229783240987,0.62250881224634,1102
"cat_ruralidadIntermedio",1.42290645496437,0.584971790657648,2.43243602117066,0.0149976408530352,1102
"cat_ruralidadRural",2.82697824407025,0.651216340803936,4.34107387505096,0.0000141788038083317,1102
"cat_ruralidadRural disperso",3.88813940380756,0.700572916573835,5.54994249966525,0.000000028576357060857,1102
"tipologia_d2conflicto_activo",1.24038303061549,0.388888277710741,3.18956137715753,0.00142488877984126,1102
"tipologia_d2control_armado",2.02029471708666,0.764407744608775,2.64295427582389,0.00821861331978207,1102
"tipologia_d2corredor",1.48726311567511,0.504721635147584,2.94669974914038,0.0032118490154804,1102
"tipologia_d2produccion_intensiva",2.27187337586439,1.01709255793983,2.23369383457703,0.0255032249532074,1102
